127.0.0.1 - - [22/Jun/2023:10:20:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Jun/2023:10:20:35 +0900] "GET /01_html/day04/ex01_form.html HTTP/1.1" 200 3194
0:0:0:0:0:0:0:1 - - [22/Jun/2023:10:20:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Jun/2023:10:44:57 +0900] "GET /01_html/day04/ex01_form.html HTTP/1.1" 200 3442
0:0:0:0:0:0:0:1 - - [22/Jun/2023:10:50:00 +0900] "GET /01_html/day04/ex01_form.html HTTP/1.1" 200 3576
0:0:0:0:0:0:0:1 - - [22/Jun/2023:10:50:02 +0900] "GET /01_html/day04/ex01_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:10:50:05 +0900] "GET /01_html/day04/ex01_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:10:50:20 +0900] "GET /01_html/day04/ex01_form.html HTTP/1.1" 200 3577
0:0:0:0:0:0:0:1 - - [22/Jun/2023:10:52:50 +0900] "GET /01_html/day04/ex01_form.html?id=ferferf&pw=h5554y4&age=565465&birth=88888888 HTTP/1.1" 200 3577
0:0:0:0:0:0:0:1 - - [22/Jun/2023:11:01:18 +0900] "GET /01_html/day04/ex01_form.html?id=ferferf&pw=h5554y4&age=565465&birth=88888888 HTTP/1.1" 200 4109
0:0:0:0:0:0:0:1 - - [22/Jun/2023:11:02:10 +0900] "GET /01_html/day04/ex01_form.html?id=ferferf&pw=eeeee&age=&age=&birth=&gender=2 HTTP/1.1" 200 4109
0:0:0:0:0:0:0:1 - - [22/Jun/2023:11:03:53 +0900] "GET /01_html/day04/ex01_form.html?id=ferferf&pw=eeeee&age=&age=&birth=&gender=2 HTTP/1.1" 200 4122
0:0:0:0:0:0:0:1 - - [22/Jun/2023:11:12:34 +0900] "GET /01_html/day04/ex01_form.html?id=ferferf&pw=eeeee&age=&age=&birth=&gender=2 HTTP/1.1" 200 4890
0:0:0:0:0:0:0:1 - - [22/Jun/2023:11:12:50 +0900] "GET /01_html/day04/ex01_form.html?id=ferferf&pw=ooooo&age=&age=&birth=&gender=%EB%82%A8%EC%84%B1&hobby=1&hobby=2&addr=2 HTTP/1.1" 200 4890
0:0:0:0:0:0:0:1 - - [22/Jun/2023:11:13:02 +0900] "GET /01_html/day04/ex01_form.html?id=ferferf&pw=oooo&age=&age=&birth=&gender=2&hobby=2&hobby=3&addr=%ED%95%B4%EC%99%B8 HTTP/1.1" 200 4890
0:0:0:0:0:0:0:1 - - [22/Jun/2023:11:18:05 +0900] "GET /01_html/day04/ex01_form.html?id=ferferf&pw=oooo&age=&age=&birth=&gender=2&hobby=2&hobby=3&addr=%ED%95%B4%EC%99%B8 HTTP/1.1" 200 5334
0:0:0:0:0:0:0:1 - - [22/Jun/2023:11:18:29 +0900] "GET /01_html/day04/ex01_form.html?id=ddd&pw=www&age=&age=&birth=&gender=%EB%82%A8%EC%84%B1&hobby=2&hobby=3&addr=2&browser=1&browser=3 HTTP/1.1" 200 5334
0:0:0:0:0:0:0:1 - - [22/Jun/2023:11:21:04 +0900] "GET /01_html/day04/ex01_form.html?id=ddd&pw=www&age=&age=&birth=&gender=%EB%82%A8%EC%84%B1&hobby=2&hobby=3&addr=2&browser=1&browser=3 HTTP/1.1" 200 5523
0:0:0:0:0:0:0:1 - - [22/Jun/2023:11:39:49 +0900] "GET /01_html/day04/ex01_form.html?id=ddd&pw=www&age=&age=&birth=&gender=%EB%82%A8%EC%84%B1&hobby=2&hobby=3&addr=2&browser=1&browser=3 HTTP/1.1" 200 5812
0:0:0:0:0:0:0:1 - - [22/Jun/2023:11:40:35 +0900] "GET /01_html/day04/ex01_form.html?id=ddd&pw=www&age=&age=&birth=&gender=%EB%82%A8%EC%84%B1&hobby=2&hobby=3&addr=2&browser=1&browser=3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:11:41:01 +0900] "GET /01_html/day04/ex01_form.html?id=ddd&pw=www&age=&age=&birth=&gender=%EB%82%A8%EC%84%B1&hobby=2&hobby=3&addr=2&browser=1&browser=3 HTTP/1.1" 200 5812
0:0:0:0:0:0:0:1 - - [22/Jun/2023:11:48:40 +0900] "GET /01_html/day04/ex02_form.html HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [22/Jun/2023:11:50:24 +0900] "GET /01_html/day04/ex02_form.html HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [22/Jun/2023:12:06:47 +0900] "GET /01_html/day04/ex03_test01.html HTTP/1.1" 200 185
